id,name,genes
ACRNtm,O acetylcarnintine transport into mitochondria via diffusion,frozenset()
ACRNtp,acetylcarnitine transport out of peroxisome,frozenset()
ARGSSr,argininosuccinate synthase reversible,frozenset()
ACSm,acetyl CoA synthetase,frozenset({<Gene YALI0F05962p at 0x7f413382bd90>})
ACSp,acetyl CoA synthetase,frozenset({<Gene YALI0F05962p at 0x7f413382bd90>})
ACt2r,acetate reversible transport via proton symport,frozenset({<Gene YALI0E04312g at 0x7f4133830510>})
ACtm,acetate transport mitochondrial,frozenset()
ACtp,acetate transport peroxisomal,frozenset()
ADCL,4 aminobenzoate synthase,frozenset()
ADCS,4 amino 4 deoxychorismate synthase,frozenset({<Gene YALI0A05379g at 0x7f4133830390>})
ADEt2,adenine transport in via proton symport,"frozenset({<Gene YALI0D07392g at 0x7f4133830710>, <Gene YALI0F30569g at 0x7f4133830450>})"
ADEtm,adenine reversible transport mitochondria,frozenset()
ADHAPR_SC,acyldihydroxyacetonephosphate reductase yeast specific,frozenset({<Gene YALI0C00209g at 0x7f4133830610>})
ADK1,adenylate kinase,frozenset({<Gene YALI0B00704g at 0x7f4133830690>})
ADK1m,adenylate kinase mitochondrial,frozenset({<Gene YALI0F26521g at 0x7f41338306d0>})
ADK3,adentylate kinase GTP ,frozenset({<Gene YALI0B00704g at 0x7f4133830690>})
ADK3m,adentylate kinase GTP ,frozenset({<Gene YALI0B00704g at 0x7f4133830690>})
ADK4,adentylate kinase ITP ,frozenset({<Gene YALI0B00704g at 0x7f4133830690>})
ADK4m,adentylate kinase ITP mitochondrial,frozenset({<Gene YALI0F26521g at 0x7f41338306d0>})
ADMDC,adenosylmethionine decarboxylase,frozenset({<Gene YALI0D07535g at 0x7f4133830850>})
ADNCYC,adenylate cyclase,frozenset({<Gene YALI0B18759g at 0x7f4133830910>})
ADNK1,adenosine kinase,frozenset({<Gene YALI0F23463g at 0x7f41338308d0>})
ADNUC,adenosine hydrolase,frozenset({<Gene YALI0F03597g at 0x7f4133830890>})
ADNt2,adenosine transport in via proton symport,frozenset()
ADPT,adenine phosphoribosyltransferase,frozenset({<Gene YALI0D05797g at 0x7f4133830b50>})
CBPS,carbamoyl phosphate synthase glutamine hydrolysing ,"frozenset({<Gene YALI0E09493g at 0x7f4133830a10>, <Gene YALI0D07370g at 0x7f4133830b10>, <Gene YALI0C23969g at 0x7f4133830cd0>})"
ADSL1r,adenylsuccinate lyase,frozenset({<Gene YALI0B17402g at 0x7f4133830bd0>})
ADSL2r,adenylosuccinate lyase,frozenset({<Gene YALI0B17402g at 0x7f4133830bd0>})
ADSS,adenylosuccinate synthase,frozenset({<Gene YALI0E28963g at 0x7f4133830b90>})
G5SADr,L glutamate 5 semialdehyde dehydratase reversible,frozenset()
G5SD2,glutamate 5 semialdehyde dehydrogenase,frozenset({<Gene YALI0E30481g at 0x7f4133830c10>})
AGT,alanine glyoxylate transaminase,frozenset({<Gene YALI0E16643g at 0x7f4133830d90>})
AHCYStm,S adenosyl L homocysteine reversible transport mitochondrial,frozenset()
AHCYStn,S adenosyl L homocysteine nuclear transport,frozenset()
AHCi,adenosylhomocysteinase,frozenset({<Gene YALI0F11759g at 0x7f4133830990>})
AHMMPS,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,frozenset()
AHSERL,O acetylhomoserine thiol lyase,frozenset({<Gene YALI0D25168g at 0x7f4133830fd0>})
GLU5K,glutamate 5 kinase,frozenset({<Gene YALI0A19206g at 0x7f4133830f10>})
AICART,phosphoribosylaminoimidazolecarboxamide formyltransferase,frozenset({<Gene YALI0D24409g at 0x7f41338370d0>})
AIRCr,phosphoribosylaminoimidazole carboxylase,frozenset({<Gene YALI0B23188g at 0x7f4133830ed0>})
AKGDam,oxoglutarate dehydrogenase lipoamide ,"frozenset({<Gene YALI0E16929g at 0x7f4133830e90>, <Gene YALI0E33517g at 0x7f4133837250>})"
AKGDbm,oxoglutarate dehydrogenase dihydrolipoamide S succinyltransferase ,"frozenset({<Gene YALI0E16929g at 0x7f4133830e90>, <Gene YALI0E33517g at 0x7f4133837250>, <Gene YALI0D20768g at 0x7f4133830dd0>})"
AKGMAL,alpha ketoglutaratemalate transporter,frozenset()
AKGt2n,2 oxoglutarate nuclear transport via proton symport,frozenset()
AKGt2r,2 oxoglutarate reversible transport via symport,frozenset()
AKP1,alkaline phosphatase Dihydroneopterin ,frozenset({<Gene YALI0F16709g at 0x7f41338372d0>})
ALASm,5 aminolevulinate synthase,frozenset({<Gene YALI0C06083g at 0x7f4133837310>})
ALATA_L,L alanine transaminase,frozenset({<Gene YALI0D06325g at 0x7f4133837210>})
ALATA_Lm,L alanine transaminase mitochondrial,frozenset({<Gene YALI0D06325g at 0x7f4133837210>})
ALATRS,Alanyl tRNA synthetase,frozenset({<Gene YALI0B04180g at 0x7f4133837350>})
ALAt2r,L alanine reversible transport via proton symport,"frozenset({<Gene YALI0C00451g at 0x7f4133837510>, <Gene YALI0D15422g at 0x7f413382b650>, <Gene YALI0B16522g at 0x7f41338374d0>})"
ALCD19y,alcohol dehydrogenase glycerol NADP ,"frozenset({<Gene YALI0F18590g at 0x7f4133837810>, <Gene YALI0A15906g at 0x7f4133837450>, <Gene YALI0E18348g at 0x7f4133837690>, <Gene YALI0B21780g at 0x7f41338376d0>, <Gene YALI0F06974g at 0x7f4133837710>, <Gene YALI0C00319g at 0x7f4133837750>, <Gene YALI0D04092g at 0x7f4133837590>, <Gene YALI0C13508g at 0x7f4133837190>})"
ALCD2m,alcohol dehydrogenase ethanol mitochondrial,frozenset({<Gene YALI0E17787g at 0x7f4133837610>})
ALCD2x,alcohol dehydrogenase ethanol ,frozenset({<Gene YALI0E17787g at 0x7f4133837610>})
ALDD19x,aldehyde dehydrogenase phenylacetaldehyde NAD ,"frozenset({<Gene YALI0F04444g at 0x7f41338375d0>, <Gene YALI0D07942g at 0x7f41338377d0>})"
ALDD20xm,aldehyde dehydrogenase indole 3 acetaldehyde NAD mitochondrial,frozenset({<Gene YALI0C03025g at 0x7f413382b690>})
ALDD20y,aldehyde dehydrogenase indole 3 acetaldehyde NADP ,frozenset({<Gene YALI0C03025g at 0x7f413382b690>})
ALDD20ym,aldehyde dehydrogenase indole 3 acetaldehyde NADP mitochondrial,"frozenset({<Gene YALI0B01298g at 0x7f4133837cd0>, <Gene YALI0C03025g at 0x7f413382b690>, <Gene YALI0E00264g at 0x7f4133837c50>, <Gene YALI0F23793g at 0x7f4133837dd0>})"
ALDD2xm,aldehyde dehydrogenase acetylaldehyde NAD mitochondrial,frozenset({<Gene YALI0C03025g at 0x7f413382b690>})
ALDD2y,aldehyde dehydrogenase acetaldehyde NADP ,frozenset({<Gene YALI0C03025g at 0x7f413382b690>})
ALDD2ym,aldehyde dehydrogenase acetylaldehyde NADP mitochondrial,frozenset({<Gene YALI0C03025g at 0x7f413382b690>})
ALLTAHr,Allantoate amidinohydrolase reversible,frozenset({<Gene YALI0D18337g at 0x7f4133837ad0>})
ALLTNr,allantoinase reversible reaction,frozenset({<Gene YALI0F23243g at 0x7f4133837c10>})
ALLTNti,allantoin irreversible uniport,frozenset({<Gene YALI0D05621g at 0x7f4133837bd0>})
ALLTTti,allantoate irreversible uniport,frozenset({<Gene YALI0D13970g at 0x7f4133837c90>})
ALPHNH,allophanate hydrolase,frozenset({<Gene YALI0E07271g at 0x7f4133837e90>})
AM6SAD,aminomuconate semialdehyde dehydrogenase,frozenset()
AMAOTr,adenosylmethionine 8 amino 7 oxononanoate transaminase,frozenset({<Gene YALI0E21549g at 0x7f4133837fd0>})
AMETt2,S adenosyl L methionine transport in via proton symport,frozenset({<Gene YALI0B16522g at 0x7f41338374d0>})
AMETtm,S Adenosyl L methionine reversible transport mitochondrial,frozenset()
AMETtn,S adenosyl L methionine nuclear transport,frozenset()
AMID,amidase,"frozenset({<Gene YALI0E11847g at 0x7f4133837f50>, <Gene YALI0F16401g at 0x7f41338400d0>, <Gene YALI0E34771g at 0x7f4133837ed0>})"
AMID2,amidase,frozenset({<Gene YALI0E11847g at 0x7f4133837f50>})
AMID3,amidase,frozenset({<Gene YALI0E11847g at 0x7f4133837f50>})
AMPDA,Adenosine monophosphate deaminase,frozenset({<Gene YALI0E11495g at 0x7f4133837e50>})
AMPN,AMP nucleosidase,frozenset({<Gene YALI0E11495g at 0x7f4133837e50>})
OCBTi,ornithine carbamoyltransferase irreversible,frozenset({<Gene YALI0D14894g at 0x7f4133840150>})
ORNTACim,ornithine transacetylase irreversible mitochondrial,frozenset({<Gene YALI0E13057g at 0x7f4133837f10>})
AP4AHr,Ap4A hydrolase reversible,frozenset({<Gene YALI0E32736g at 0x7f4133840110>})
APRAUR,5 amino 6 5 phosphoribosylamino uracil reductase,frozenset({<Gene YALI0D06501g at 0x7f4133840210>})
APRTO2,N acetylputrescine oxygen oxireductase deaminating ,frozenset()
ARAB1D1,D arabinose 1 dehydrogenase NAD ,frozenset({<Gene YALI0F30811g at 0x7f41338404d0>})
ARAB1D2,D arabinose 1 dehydrogenase NADP ,frozenset({<Gene YALI0A15906g at 0x7f4133837450>})
ARABR,arabinose reductase,frozenset({<Gene YALI0D07634g at 0x7f4133840410>})
ARAB_Dt,D arabinose reversible transport,frozenset()
ARAB_Lt,L arabinoase extracellular transport,frozenset()
ARGN,arginase,frozenset({<Gene YALI0E07535g at 0x7f4133840490>})
P5CR,pyrroline 5 carboxylate reductase,frozenset({<Gene YALI0B14399g at 0x7f41338405d0>})
biomass_C_limited,biomass yarrowia carbon limiting,frozenset()
biomass_N_limited,biomass yarrowia nitrogen limiting,frozenset()
ARGTRS,Arginyl tRNA synthetase,frozenset({<Gene YALI0E17985g at 0x7f4133840550>})
ARGTRSm,Arginyl tRNA synthetase mitochondrial,frozenset({<Gene YALI0E17985g at 0x7f4133840550>})
ARGt2m,arginine mitochondrial transport via proton symport,frozenset()
ARGt2r,L arganine reversible transport via proton symport,"frozenset({<Gene YALI0B19338g at 0x7f4133840510>, <Gene YALI0B16522g at 0x7f41338374d0>})"
ARMT,hnRNP arginine N methyltransferase,frozenset({<Gene YALI0E18282g at 0x7f4133840790>})
CSm,citrate synthase,"frozenset({<Gene YALI0E00638g at 0x7f4133840050>, <Gene YALI0E02684g at 0x7f41338407d0>})"
ASNS1,asparagine synthase glutamine hydrolysing ,"frozenset({<Gene YALI0F28149g at 0x7f4133840750>, <Gene YALI0A13387g at 0x7f4133840950>})"
ASNTRS,Asparaginyl tRNA synthetase,"frozenset({<Gene YALI0E04939g at 0x7f4133840890>, <Gene YALI0E05005g at 0x7f4133840a50>})"
ASNTRSm,asparaginyl tRNA synthetase miotchondrial,frozenset({<Gene YALI0E04939g at 0x7f4133840890>})
ASNt2m,asparagine mitochondrial transport via proton transport,frozenset()
ASNt2r,L asparagine reversible transport via proton symport,"frozenset({<Gene YALI0C00451g at 0x7f4133837510>, <Gene YALI0B16522g at 0x7f41338374d0>})"
ASP1DC,aspartate 1 decarboxylase,frozenset()
ICDHxm,Isocitrate dehydrogenase NAD ,"frozenset({<Gene YALI0E05137g at 0x7f4133840910>, <Gene YALI0D06303g at 0x7f4133840b90>})"
ASPGLUtp,aspartate glutamate peroxisomal shuttle,frozenset()
ICDHym,Isocitrate dehydrogenase NADP ,frozenset({<Gene YALI0F04095g at 0x7f4133840bd0>})
ASPTA,aspartate transaminase,frozenset({<Gene YALI0F29337g at 0x7f4133840ad0>})
ASPTAm,aspartate transaminase,"frozenset({<Gene YALI0B02178g at 0x7f4133840cd0>, <Gene YALI0F29337g at 0x7f4133840ad0>})"
ASPTAp,aspartate transaminase peroxisomal,frozenset({<Gene YALI0F29337g at 0x7f4133840ad0>})
ASPTRS,Aspartyl tRNA synthetase,frozenset({<Gene YALI0D22264g at 0x7f4133840dd0>})
ASPTRSm,Aspartyl tRNA synthetase mitochondrial,frozenset({<Gene YALI0F26433g at 0x7f4133840e50>})
ASPt2m,aspartate mitochondrial transport via proton symport,frozenset()
ATPCitL,ATP Citrate Lyase YL,"frozenset({<Gene YALI0E34793g at 0x7f4133840ed0>, <Gene YALI0D24431g at 0x7f4133840d50>})"
ASPt2r,L aspartate reversible transport via proton symport,"frozenset({<Gene YALI0C00451g at 0x7f4133837510>, <Gene YALI0B16522g at 0x7f41338374d0>})"
ATP2tp_H,AMPATP transporter peroxisomal,frozenset({<Gene YALI0E03058g at 0x7f4133840fd0>})
ATPATF1,ATP adenylyltransferase,frozenset({<Gene YALI0F30349g at 0x7f4133840f50>})
ATPATF2,ATP adenylyltransferase,frozenset({<Gene YALI0F30349g at 0x7f4133840f50>})
ATPATF3,ATP adenylyltransferase,frozenset({<Gene YALI0F30349g at 0x7f4133840f50>})
ATPM,ATP maintenance requirement,frozenset()
ATPPRT,ATP phosphoribosyltransferase,frozenset({<Gene YALI0C05170g at 0x7f4133840d90>})
ADSK,adenylyl sulfate kinase,frozenset({<Gene YALI0E00418g at 0x7f4133840d10>})
ATPS3g,ATP synthase Golgi Apparatus,"frozenset({<Gene YALI0D00583g at 0x7f4133848410>, <Gene YALI0B11913g at 0x7f4133848310>, <Gene YALI0B06831g at 0x7f4133848450>, <Gene YALI0B21527g at 0x7f4133848350>, <Gene YALI0B03982g at 0x7f4133848490>, <Gene YALI0A11143g at 0x7f41338483d0>, <Gene YALI0A09900g at 0x7f4133848390>})"
BPNT,3 5 bisphosphate nucleotidase,frozenset({<Gene YALI0F27665g at 0x7f4133840f90>})
ATPS3v,ATP synthase vacuole,"frozenset({<Gene YALI0B21527p at 0x7f4133848210>, <Gene YALI0B06831p at 0x7f4133848710>, <Gene YALI0A09900p at 0x7f41338484d0>, <Gene YALI0D00583p at 0x7f4133848850>, <Gene YALI0A11143p at 0x7f4133848650>, <Gene YALI0B03982p at 0x7f4133848590>, <Gene YALI0B11913p at 0x7f41338486d0>})"
CYSS,cysteine synthase,frozenset({<Gene YALI0E08536g at 0x7f4133848110>})
ATPtp_H,ADPATP transporter peroxisomal YL,frozenset({<Gene YALI0E03058g at 0x7f4133840fd0>})
PAPSR,phosphoadenylyl sulfate reductase thioredoxin ,frozenset({<Gene YALI0B08140g at 0x7f4133848510>})
BTNt2i,Biotin uptake,"frozenset({<Gene YALI0F13607g at 0x7f4133848690>, <Gene YALI0A18183g at 0x7f41338489d0>})"
BTSr,biotin synthase,frozenset({<Gene YALI0D15400g at 0x7f41338485d0>})
SERATi,serine O acetyltransferase irreversible,frozenset()
C22STDS,C 22 sterol desaturase NADP ,frozenset({<Gene YALI0A18062g at 0x7f4133848c10>})
SLFAT,sulfate adenylyltransferase ADP ,frozenset({<Gene YALI0F30349g at 0x7f4133840f50>})
SULR,sulfite reductase NADPH2 ,"frozenset({<Gene YALI0D11176g at 0x7f4133848b10>, <Gene YALI0E16368g at 0x7f4133848c50>})"
ACACT1,acetyl CoA C acetyltransferase,"frozenset({<Gene YALI0E11099g at 0x7f413382b790>, <Gene YALI0B08536g at 0x7f413382b890>})"
ACCOACr,acetyl CoA carboxylase reversible reaction,frozenset({<Gene YALI0C11407g at 0x7f4133848a90>})
DESAT16,Palmitoyl CoA desaturase n C160CoA n C161CoA ,frozenset({<Gene YALI0C05951g at 0x7f4133848e10>})
DESAT18,stearoyl CoA desaturase n C180CoA n C181CoA ,frozenset({<Gene YALI0C05951g at 0x7f4133848e10>})
DESAT18_2,Oleoyl CoA desaturase n C181CoA n C182CoA ,frozenset()
C5STDS,C 5 sterol desaturase,frozenset({<Gene YALI0D20878g at 0x7f4133848cd0>})
C8STI,C 8 sterol isomerase,frozenset({<Gene YALI0E32065g at 0x7f4133848bd0>})
CAT,catalase,"frozenset({<Gene YALI0E34749g at 0x7f4133848d90>, <Gene YALI0E34265g at 0x7f4133848d10>, <Gene YALI0F30987g at 0x7f4133848e50>})"
CATp,catalase A peroxisomal,frozenset({<Gene YALI0F30987g at 0x7f4133848e50>})
CBASPtn,N carbomoyl L aspartate transport diffusion,frozenset()
FAS100COA,fatty acyl CoA synthase n C100CoA ,"frozenset({<Gene YALI0B19382g at 0x7f4133848fd0>, <Gene YALI0B15059g at 0x7f413382bc90>, <Gene YALI0C11407g at 0x7f4133848a90>, <Gene YALI0E23185g at 0x7f4133848f90>})"
CBPSn,carbamoyl phosphate synthase glutamine hydrolysing nuclear,frozenset({<Gene YALI0E09493g at 0x7f4133830a10>})
FAS120COA,fatty acyl CoA synthase n C120CoA ,"frozenset({<Gene YALI0B19382g at 0x7f4133848fd0>, <Gene YALI0B15059g at 0x7f413382bc90>, <Gene YALI0C11407g at 0x7f4133848a90>, <Gene YALI0E23185g at 0x7f4133848f90>})"
CDPDGPm_SC,CDP diacylglycerol serine O phosphatidyltransferae yeast specific mitochondrial,frozenset({<Gene YALI0E14102g at 0x7f4133848d50>})
CDPtn,CDP nuclear transport,frozenset()
CERH124,Ceramide 1 hydroxylase 24C ,frozenset({<Gene YALI0E17347g at 0x7f41338503d0>})
CERH126,Ceramide 1 hydroxylase 26C ,frozenset({<Gene YALI0E17347g at 0x7f41338503d0>})
CERS124,Ceramide 1 synthase 24C ,frozenset()
CERS126,Ceramide 1 synthase 26C ,frozenset()
CERS224,Ceramide 2 synthase 24C ,frozenset()
CERS226,Ceramide 2 synthase 26C ,frozenset()
CERS2_24,Ceramide 2 synthase 24C ,frozenset({<Gene YALI0F12749g at 0x7f4133850410>})
CERS2_26,Ceramide 2 synthase 26C ,frozenset({<Gene YALI0F12749g at 0x7f4133850410>})
CERS324,Ceramide 3 synthase 24C ,frozenset({<Gene YALI0F12749g at 0x7f4133850410>})
CERS326,Ceramide 3 synthase 26C ,frozenset({<Gene YALI0F12749g at 0x7f4133850410>})
CHLPCTD,choline phosphate cytididyltransferase,frozenset({<Gene YALI0D18271g at 0x7f4133850490>})
FAS140COA,fatty acyl CoA synthase n C140CoA ,"frozenset({<Gene YALI0E23185g at 0x7f4133848f90>, <Gene YALI0C11407g at 0x7f4133848a90>, <Gene YALI0B15059g at 0x7f413382bc90>, <Gene YALI0B19382g at 0x7f4133848fd0>})"
CHLt2,choline transport via proton symport,frozenset({<Gene YALI0A18183g at 0x7f41338489d0>})
CHOLK,Choline kinase,frozenset({<Gene YALI0E16907g at 0x7f4133848f50>})
FAS160COA,fatty acyl CoA synthase n C160CoA ,"frozenset({<Gene YALI0B19382g at 0x7f4133848fd0>, <Gene YALI0C11407g at 0x7f4133848a90>, <Gene YALI0B15059g at 0x7f413382bc90>, <Gene YALI0E23185g at 0x7f4133848f90>})"
FAS180COA,fatty acyl CoA synthase n C180CoA ,"frozenset({<Gene YALI0B19382g at 0x7f4133848fd0>, <Gene YALI0B15059g at 0x7f413382bc90>, <Gene YALI0C11407g at 0x7f4133848a90>, <Gene YALI0E23185g at 0x7f4133848f90>})"
