"","original_reaction","reaction_ID","xml_equation","bigg_name"
"43","ACACT5p: 3oddcoa_x + coa_x --> accoa_x + dcacoa_x","ACACT5p"," 3oddcoa_x + coa_x --> accoa_x + dcacoa_x","Acetyl CoA C acyltransferase  decanoyl CoA   peroxisomal"
"44","ACACT6p: 3otdcoa_x + coa_x --> accoa_x + ddcacoa_x","ACACT6p"," 3otdcoa_x + coa_x --> accoa_x + ddcacoa_x","Acetyl CoA C acetyltransferase  dodecanoyl   peroxisomal"
"45","ACACT7p: 3ohdcoa_x + coa_x --> accoa_x + tdcoa_x","ACACT7p"," 3ohdcoa_x + coa_x --> accoa_x + tdcoa_x","Acetyl CoA acyltransferase  tetradecanoyl CoA   peroxisomal"
"46","ACACT8p: 3ohodcoa_x + coa_x --> accoa_x + pmtcoa_x","ACACT8p"," 3ohodcoa_x + coa_x --> accoa_x + pmtcoa_x","Acetyl CoA acyltransferase  hexadecanoyl CoA   peroxisomal"
"47","ACACT9p: 3ohxccoa_x + coa_x --> accoa_x + ttccoa_x","ACACT9p"," 3ohxccoa_x + coa_x --> accoa_x + ttccoa_x","Acetyl CoA acyltransferase  tetracosanoyl CoA   peroxisomal"
"48","PC: atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c","PC"," atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c","Pyruvate carboxylase"
"49","ACGAM6PS: accoa_c + gam6p_c <=> acgam6p_c + coa_c + h_c","ACGAM6PS"," accoa_c + gam6p_c <=> acgam6p_c + coa_c + h_c","N acetylglucosamine 6 phosphate synthase"
"50","ACGAMPM: acgam6p_c <=> acgam1p_c","ACGAMPM"," acgam6p_c <=> acgam1p_c","Phosphoacetylglucosamine mutase"
"51","ACGKm: acglu_m + atp_m --> acg5p_m + adp_m","ACGKm"," acglu_m + atp_m --> acg5p_m + adp_m","Acetylglutamate kinase  mitochondrial"
"52","ACGSm: accoa_m + glu_L_m --> acglu_m + coa_m + h_m","ACGSm"," accoa_m + glu_L_m --> acglu_m + coa_m + h_m","N acteylglutamate synthase  mitochondrial"
"53","ACOTAim: acg5sa_m + glu_L_m --> acorn_m + akg_m","ACOTAim"," acg5sa_m + glu_L_m --> acorn_m + akg_m","Acteylornithine transaminase  irreversible  mitochondrial"
"54","AGPRim: acg5p_m + h_m + nadph_m --> acg5sa_m + nadp_m + pi_m","AGPRim"," acg5p_m + h_m + nadph_m --> acg5sa_m + nadp_m + pi_m","N acetyl g glutamyl phosphate reductase  irreversible  mitochondrial"
"55","ACOAH: accoa_c + h2o_c --> ac_c + coa_c + h_c","ACOAH"," accoa_c + h2o_c --> ac_c + coa_c + h_c",NA
"56","ACOAO4p: dcacoa_x + o2_x --> dc2coa_x + h2o2_x","ACOAO4p"," dcacoa_x + o2_x --> dc2coa_x + h2o2_x","Acyl CoA oxidase  decanoyl CoA   peroxisomal"
"57","ACOAO5p: ddcacoa_x + o2_x --> dd2coa_x + h2o2_x","ACOAO5p"," ddcacoa_x + o2_x --> dd2coa_x + h2o2_x","Acyl CoA oxidase  dodecanoyl CoA   peroxisomal"
"58","ACOAO6p: o2_x + tdcoa_x --> h2o2_x + td2coa_x","ACOAO6p"," o2_x + tdcoa_x --> h2o2_x + td2coa_x","Acyl CpA oxidase  tetradecanoyl CoA   peroxisomal"
"59","ACOAO7p: o2_x + pmtcoa_x --> h2o2_x + hdd2coa_x","ACOAO7p"," o2_x + pmtcoa_x --> h2o2_x + hdd2coa_x","Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal"
"60","ACOAO8p: o2_x + stcoa_x --> h2o2_x + od2coa_x","ACOAO8p"," o2_x + stcoa_x --> h2o2_x + od2coa_x","Acyl CoA oxidase  octadecanoyl CoA   peroxisomal"
"61","ACOAO9p: hexccoa_x + o2_x --> h2o2_x + hxc2coa_x","ACOAO9p"," hexccoa_x + o2_x --> h2o2_x + hxc2coa_x","Acyl CoA oxidase  hexacanoyl CoA   peroxisomal"
"62","ACOATA: ACP_c + accoa_c <=> acACP_c + coa_c","ACOATA"," ACP_c + accoa_c <=> acACP_c + coa_c","Acetyl-CoA ACP transacylase"
"63","ACOATAm: ACP_m + accoa_m <=> acACP_m + coa_m","ACOATAm"," ACP_m + accoa_m <=> acACP_m + coa_m","Acetyl CoA ACP transacylase"
"64","ACONT: cit_c <=> icit_c","ACONT"," cit_c <=> icit_c","Aconitate hydratase"
"65","ACONTm: cit_m <=> icit_m","ACONTm"," cit_m <=> icit_m","Aconitate hydratase"
"66","ARGSL: argsuc_c <=> arg_L_c + fum_c","ARGSL"," argsuc_c <=> arg_L_c + fum_c","Argininosuccinate lyase"
"67","ACP1e: fmn_e + h2o_e --> pi_e + ribflv_e","ACP1e"," fmn_e + h2o_e --> pi_e + ribflv_e","Acid phosphatase  extracellular  secreted "
"68","ACRNtm: acrn_c --> acrn_m","ACRNtm"," acrn_c --> acrn_m","O acetylcarnintine transport into mitochondria via diffusion"
"69","ACRNtp: acrn_x --> acrn_c","ACRNtp"," acrn_x --> acrn_c","Acetylcarnitine transport out of peroxisome"
"70","ARGSSr: asp_L_c + atp_c + citr_L_c <=> amp_c + argsuc_c + h_c + ppi_c","ARGSSr"," asp_L_c + atp_c + citr_L_c <=> amp_c + argsuc_c + h_c + ppi_c",NA
"71","ACSm: ac_m + atp_m + coa_m --> accoa_m + amp_m + ppi_m","ACSm"," ac_m + atp_m + coa_m --> accoa_m + amp_m + ppi_m","Acetyl CoA synthetase"
"72","ACSp: ac_x + atp_x + coa_x --> accoa_x + amp_x + ppi_x","ACSp"," ac_x + atp_x + coa_x --> accoa_x + amp_x + ppi_x","Acetyl CoA synthetase"
"73","ACt2r: ac_e + h_e <=> ac_c + h_c","ACt2r"," ac_e + h_e <=> ac_c + h_c","Acetate reversible transport via proton symport"
"74","ACtm: ac_c <=> ac_m","ACtm"," ac_c <=> ac_m","Acetate transport  mitochondrial"
"75","ACtp: ac_c <=> ac_x","ACtp"," ac_c <=> ac_x","Acetate transport  peroxisomal"
"76","ADCL: 4adcho_c --> 4abz_c + h_c + pyr_c","ADCL"," 4adcho_c --> 4abz_c + h_c + pyr_c","4-aminobenzoate synthase"
"77","ADCS: chor_c + gln_L_c --> 4adcho_c + glu_L_c","ADCS"," chor_c + gln_L_c --> 4adcho_c + glu_L_c","4-amino-4-deoxychorismate synthase"
"78","ADEt2: ade_e + h_e --> ade_c + h_c","ADEt2"," ade_e + h_e --> ade_c + h_c","Adenine transport in via proton symport"
"79","ADEtm: ade_c <=> ade_m","ADEtm"," ade_c <=> ade_m","Adenine reversible transport  mitochondria"
"80","ADHAPR_SC: 0.01 1agly3p_SC_c + h_c + nadph_c --> 0.01 1ag3p_SC_c + nadp_c","ADHAPR_SC"," 0.01 1agly3p_SC_c + h_c + nadph_c --> 0.01 1ag3p_SC_c + nadp_c","Acyldihydroxyacetonephosphate reductase  yeast specific"
"81","ADK1: amp_c + atp_c --> 2.0 adp_c","ADK1"," amp_c + atp_c --> 2.0 adp_c","Adenylate kinase"
"82","ADK1m: amp_m + atp_m <=> 2.0 adp_m","ADK1m"," amp_m + atp_m <=> 2.0 adp_m","Adenylate kinase  mitochondrial"
"83","ADK3: amp_c + gtp_c --> adp_c + gdp_c","ADK3"," amp_c + gtp_c --> adp_c + gdp_c","Adentylate kinase (GTP)"
"84","ADK3m: amp_m + gtp_m <=> adp_m + gdp_m","ADK3m"," amp_m + gtp_m <=> adp_m + gdp_m","Adentylate kinase  GTP "
"85","ADK4: amp_c + itp_c --> adp_c + idp_c","ADK4"," amp_c + itp_c --> adp_c + idp_c","Adentylate kinase (ITP)"
"86","ADK4m: amp_m + itp_m <=> adp_m + idp_m","ADK4m"," amp_m + itp_m <=> adp_m + idp_m","Adentylate kinase  ITP   mitochondrial"
"87","ADMDC: amet_c + h_c --> ametam_c + co2_c","ADMDC"," amet_c + h_c --> ametam_c + co2_c","Adenosylmethionine decarboxylase"
"88","ADNCYC: atp_c --> camp_c + ppi_c","ADNCYC"," atp_c --> camp_c + ppi_c","Adenylate cyclase"
"89","ADNK1: adn_c + atp_c --> adp_c + amp_c + h_c","ADNK1"," adn_c + atp_c --> adp_c + amp_c + h_c","Adenosine kinase"
"90","ADNUC: adn_c + h2o_c --> ade_c + rib_D_c","ADNUC"," adn_c + h2o_c --> ade_c + rib_D_c","Adenosine hydrolase"
"91","ADNt2: adn_e + h_e --> adn_c + h_c","ADNt2"," adn_e + h_e --> adn_c + h_c","Adenosine transport in via proton symport"
"92","ADPT: ade_c + prpp_c --> amp_c + ppi_c","ADPT"," ade_c + prpp_c --> amp_c + ppi_c","Adenine phosphoribosyltransferase"
"93","CBPS: 2.0 atp_c + gln_L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu_L_c + 2.0 h_c + pi_c","CBPS"," 2.0 atp_c + gln_L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu_L_c + 2.0 h_c + pi_c","Carbamoyl-phosphate synthase (glutamine-hydrolysing)"
"94","ADSL1r: dcamp_c <=> amp_c + fum_c","ADSL1r"," dcamp_c <=> amp_c + fum_c","Adenylsuccinate lyase"
"95","ADSL2r: 25aics_c <=> aicar_c + fum_c","ADSL2r"," 25aics_c <=> aicar_c + fum_c","Adenylosuccinate lyase"
"96","ADSS: asp_L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c","ADSS"," asp_L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c","Adenylosuccinate synthase"
"97","G5SADr: glu5sa_c <=> 1pyr5c_c + h2o_c + h_c","G5SADr"," glu5sa_c <=> 1pyr5c_c + h2o_c + h_c",NA
"98","G5SD2: glu5p_c + h_c + nadh_c --> glu5sa_c + nad_c + pi_c","G5SD2"," glu5p_c + h_c + nadh_c --> glu5sa_c + nad_c + pi_c","Glutamate 5 semialdehyde dehydrogenase"
"99","AGT: ala_L_c + glx_c <=> gly_c + pyr_c","AGT"," ala_L_c + glx_c <=> gly_c + pyr_c",NA
"100","AHCYStm: ahcys_c <=> ahcys_m","AHCYStm"," ahcys_c <=> ahcys_m","S adenosyl L homocysteine reversible transport  mitochondrial"
"101","AHCYStn: ahcys_c <=> ahcys_n","AHCYStn"," ahcys_c <=> ahcys_n",NA
"102","AHCi: ahcys_c + h2o_c --> adn_c + hcys_L_c","AHCi"," ahcys_c + h2o_c --> adn_c + hcys_L_c","Adenosylhomocysteinase"
"103","AHMMPS: air_c + 2.0 h_c --> 4ahmmp_c + gcald_c + pi_c","AHMMPS"," air_c + 2.0 h_c --> 4ahmmp_c + gcald_c + pi_c","4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase"
"104","AHSERL: achms_c + ch4s_c --> ac_c + h_c + met_L_c","AHSERL"," achms_c + ch4s_c --> ac_c + h_c + met_L_c","O acetylhomoserine  thiol  lyase"
"105","GLU5K: atp_c + glu_L_c --> adp_c + glu5p_c","GLU5K"," atp_c + glu_L_c --> adp_c + glu5p_c","Glutamate 5-kinase"
"106","AICART: 10fthf_c + aicar_c <=> fprica_c + thf_c","AICART"," 10fthf_c + aicar_c <=> fprica_c + thf_c","Phosphoribosylaminoimidazolecarboxamide formyltransferase"
"107","AIRCr: air_c + co2_c <=> 5aizc_c + h_c","AIRCr"," air_c + co2_c <=> 5aizc_c + h_c","Phosphoribosylaminoimidazole carboxylase"
"108","AKGDam: akg_m + h_m + lpam_m <=> co2_m + sdhlam_m","AKGDam"," akg_m + h_m + lpam_m <=> co2_m + sdhlam_m","Oxoglutarate dehydrogenase  lipoamide "
"109","AKGDbm: coa_m + sdhlam_m --> dhlam_m + succoa_m","AKGDbm"," coa_m + sdhlam_m --> dhlam_m + succoa_m","Oxoglutarate dehydrogenase  dihydrolipoamide S succinyltransferase "
"110","AKGMAL: akg_e + mal_L_c --> akg_c + mal_L_e","AKGMAL"," akg_e + mal_L_c --> akg_c + mal_L_e","Alpha ketoglutaratemalate transporter"
"111","AKGt2n: akg_c + h_c <=> akg_n + h_n","AKGt2n"," akg_c + h_c <=> akg_n + h_n","2 oxoglutarate nuclear transport via proton symport"
"112","AKGt2r: akg_e + h_e --> akg_c + h_c","AKGt2r"," akg_e + h_e --> akg_c + h_c","2 oxoglutarate reversible transport via symport"
"113","AKP1: ahdt_c + 3.0 h2o_c --> dhnpt_c + 2.0 h_c + 3.0 pi_c","AKP1"," ahdt_c + 3.0 h2o_c --> dhnpt_c + 2.0 h_c + 3.0 pi_c","Alkaline phosphatase  Dihydroneopterin "
"114","ALASm: gly_m + h_m + succoa_m --> 5aop_m + co2_m + coa_m","ALASm"," gly_m + h_m + succoa_m --> 5aop_m + co2_m + coa_m","5 aminolevulinate synthase"
"115","ALATA_L: akg_c + ala_L_c <=> glu_L_c + pyr_c","ALATA_L"," akg_c + ala_L_c <=> glu_L_c + pyr_c","L-alanine transaminase"
"116","ALATA_Lm: akg_m + ala_L_m <=> glu_L_m + pyr_m","ALATA_Lm"," akg_m + ala_L_m <=> glu_L_m + pyr_m","L alanine transaminase  mitochondrial"
"117","ALATRS: ala_L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c","ALATRS"," ala_L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c","Alanyl-tRNA synthetase"
"118","ALAt2r: ala_L_e + h_e <=> ala_L_c + h_c","ALAt2r"," ala_L_e + h_e <=> ala_L_c + h_c","L alanine reversible transport via proton symport"
"119","ALCD19y: glyald_c + h_c + nadph_c --> glyc_c + nadp_c","ALCD19y"," glyald_c + h_c + nadph_c --> glyc_c + nadp_c","Alcohol dehydrogenase  glycerol  NADP "
"120","ALCD2m: etoh_m + nad_m <=> acald_m + h_m + nadh_m","ALCD2m"," etoh_m + nad_m <=> acald_m + h_m + nadh_m",NA
"121","ALCD2x: etoh_c + nad_c <=> acald_c + h_c + nadh_c","ALCD2x"," etoh_c + nad_c <=> acald_c + h_c + nadh_c",NA
"122","ALDD19x: h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c","ALDD19x"," h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c",NA
"123","ALDD20xm: h2o_m + id3acald_m + nad_m --> 2.0 h_m + ind3ac_m + nadh_m","ALDD20xm"," h2o_m + id3acald_m + nad_m --> 2.0 h_m + ind3ac_m + nadh_m","Aldehyde dehydrogenase  indole 3 acetaldehyde  NAD   mitochondrial"
"124","ALDD20y: h2o_c + id3acald_c + nadp_c --> 2.0 h_c + ind3ac_c + nadph_c","ALDD20y"," h2o_c + id3acald_c + nadp_c --> 2.0 h_c + ind3ac_c + nadph_c","Aldehyde dehydrogenase  indole 3 acetaldehyde  NADP "
"125","ALDD20ym: h2o_m + id3acald_m + nadp_m --> 2.0 h_m + ind3ac_m + nadph_m","ALDD20ym"," h2o_m + id3acald_m + nadp_m --> 2.0 h_m + ind3ac_m + nadph_m","Aldehyde dehydrogenase  indole 3 acetaldehyde  NADP   mitochondrial"
"126","ALDD2xm: acald_m + h2o_m + nad_m --> ac_m + 2.0 h_m + nadh_m","ALDD2xm"," acald_m + h2o_m + nad_m --> ac_m + 2.0 h_m + nadh_m","Aldehyde dehydrogenase  acetylaldehyde  NAD   mitochondrial"
"127","ALDD2y: acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c","ALDD2y"," acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c","Aldehyde dehydrogenase (acetaldehyde, NADP)"
"128","ALDD2ym: acald_m + h2o_m + nadp_m --> ac_m + 2.0 h_m + nadph_m","ALDD2ym"," acald_m + h2o_m + nadp_m --> ac_m + 2.0 h_m + nadph_m","Aldehyde dehydrogenase  acetylaldehyde  NADP   mitochondrial"
"129","ALLTAHr: alltt_c + h2o_c <=> urdglyc_c + urea_c","ALLTAHr"," alltt_c + h2o_c <=> urdglyc_c + urea_c","Allantoate amidinohydrolase  reversible"
"130","ALLTNr: alltn_c + h2o_c <=> alltt_c + h_c","ALLTNr"," alltn_c + h2o_c <=> alltt_c + h_c",NA
"131","ALLTNti: alltn_e --> alltn_c","ALLTNti"," alltn_e --> alltn_c","Allantoin irreversible uniport"
"132","ALLTTti: alltt_e --> alltt_c","ALLTTti"," alltt_e --> alltt_c","Allantoate irreversible uniport"
"133","ALPHNH: allphn_c + h2o_c + 3.0 h_c --> 2.0 co2_c + 2.0 nh4_c","ALPHNH"," allphn_c + h2o_c + 3.0 h_c --> 2.0 co2_c + 2.0 nh4_c","Allophanate hydrolase"
"134","AM6SAD: am6sa_c + h2o_c + nad_c --> amuco_c + 2.0 h_c + nadh_c","AM6SAD"," am6sa_c + h2o_c + nad_c --> amuco_c + 2.0 h_c + nadh_c",NA
"135","AMAOTr: 8aonn_c + amet_c <=> amob_c + dann_c","AMAOTr"," 8aonn_c + amet_c <=> amob_c + dann_c","Adenosylmethionine-8-amino-7-oxononanoate transaminase"
"136","AMETt2: amet_e + h_e --> amet_c + h_c","AMETt2"," amet_e + h_e --> amet_c + h_c","S adenosyl L methionine transport in via proton symport"
"137","AMETtm: amet_c <=> amet_m","AMETtm"," amet_c <=> amet_m","S Adenosyl L methionine reversible transport  mitochondrial"
"138","AMETtn: amet_c <=> amet_n","AMETtn"," amet_c <=> amet_n",NA
"139","AMID: 4gudbd_c + h2o_c --> 4gudbutn_c + nh4_c","AMID"," 4gudbd_c + h2o_c --> 4gudbutn_c + nh4_c","GUANIDINOBUTANAMIDE-NH3-RXN"
"140","AMID2: h2o_c + pad_c --> nh4_c + pac_c","AMID2"," h2o_c + pad_c --> nh4_c + pac_c","Amidase"
"141","AMID3: h2o_c + iad_c --> ind3ac_c + nh4_c","AMID3"," h2o_c + iad_c --> ind3ac_c + nh4_c","Amidase"
"142","AMPDA: amp_c + h2o_c + h_c --> imp_c + nh4_c","AMPDA"," amp_c + h2o_c + h_c --> imp_c + nh4_c","Adenosine monophosphate deaminase"
"143","AMPN: amp_c + h2o_c --> ade_c + r5p_c","AMPN"," amp_c + h2o_c --> ade_c + r5p_c","AMP nucleosidase"
"144","OCBTi: cbp_c + orn_c --> citr_L_c + h_c + pi_c","OCBTi"," cbp_c + orn_c --> citr_L_c + h_c + pi_c",NA
"145","ORNTACim: acorn_m + glu_L_m --> acglu_m + orn_m","ORNTACim"," acorn_m + glu_L_m --> acglu_m + orn_m","Ornithine transacetylase  irreversible  mitochondrial"
"146","AP4AHr: ap4a_c + h2o_c <=> 2.0 adp_c + 2.0 h_c","AP4AHr"," ap4a_c + h2o_c <=> 2.0 adp_c + 2.0 h_c",NA
"147","APRAUR: 5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c","APRAUR"," 5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c",NA
"148","APRTO2: aprut_c + h2o_c + o2_c --> h2o2_c + n4abutn_c + nh4_c","APRTO2"," aprut_c + h2o_c + o2_c --> h2o2_c + n4abutn_c + nh4_c","N acetylputrescine oxygen oxireductase  deaminating "
"149","ARAB1D1: arab_D_c + nad_c --> Dara14lac_c + h_c + nadh_c","ARAB1D1"," arab_D_c + nad_c --> Dara14lac_c + h_c + nadh_c",NA
"150","ARAB1D2: arab_D_c + nadp_c --> Dara14lac_c + h_c + nadph_c","ARAB1D2"," arab_D_c + nadp_c --> Dara14lac_c + h_c + nadph_c","D arabinose 1 dehydrogenase  NADP "
"151","ARABR: arab_L_c + h_c + nadph_c --> abt_c + nadp_c","ARABR"," arab_L_c + h_c + nadph_c --> abt_c + nadp_c","Arabinose reductase"
"152","ARAB_Dt: arab_D_e <=> arab_D_c","ARAB_Dt"," arab_D_e <=> arab_D_c","D arabinose reversible transport"
"153","ARAB_Lt: arab_L_e <=> arab_L_c","ARAB_Lt"," arab_L_e <=> arab_L_c","L arabinoase extracellular transport"
"154","ARGN: arg_L_c + h2o_c --> orn_c + urea_c","ARGN"," arg_L_c + h2o_c --> orn_c + urea_c","Arginase"
"155","P5CR: 1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro_L_c","P5CR"," 1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro_L_c","Pyrroline-5-carboxylate reductase"
